date,PriceUSD,PriceBTC,notes
08-Feb-16,0.49,0.00131209,$0.49 founders
09-Feb-16,0.49,0.001314025,$0.49 founders
10-Feb-16,0.97,0.002549797,Bittrex price data
11-Feb-16,1.21,0.003187146,Bittrex price data
12-Feb-16,1.31,0.00340915,Bittrex price data
13-Feb-16,1.13,0.002883683,Bittrex price data
14-Feb-16,1.18,0.002897625,Bittrex price data
15-Feb-16,1.36,0.003398471,Bittrex price data
16-Feb-16,1.5,0.003681072,Bittrex price data
17-Feb-16,1.57,0.003771138,Bittrex price data
18-Feb-16,1.42,0.003361981,Bittrex price data
19-Feb-16,1.45,0.003445899,Bittrex price data
20-Feb-16,1.55,0.003545613,Bittrex price data
21-Feb-16,1.64,0.003737466,Bittrex price data
22-Feb-16,1.74,0.003974872,Bittrex price data
23-Feb-16,1.91,0.004539621,Bittrex price data
24-Feb-16,2.67,0.006283092,Bittrex price data
25-Feb-16,2.39,0.005629623,Bittrex price data
26-Feb-16,2.43,0.005623048,Bittrex price data
27-Feb-16,2.17,0.005017109,Bittrex price data
28-Feb-16,2.24,0.005167243,Bittrex price data
29-Feb-16,2.06,0.00470642,Bittrex price data
01-Mar-16,1.72,0.003952933,Bittrex price data
02-Mar-16,1.7,0.004009529,Bittrex price data
03-Mar-16,1.74,0.004126645,Bittrex price data
04-Mar-16,1.74,0.004234195,Bittrex price data
05-Mar-16,1.69,0.004218988,Bittrex price data
06-Mar-16,2.03,0.004979029,Bittrex price data
07-Mar-16,2.16,0.005213362,Bittrex price data
08-Mar-16,2.33,0.005628427,Bittrex price data
09-Mar-16,2.48,0.00597792,Bittrex price data
10-Mar-16,2.32,0.005561815,Bittrex price data
11-Mar-16,2.4,0.005691385,Bittrex price data
12-Mar-16,2.28,0.005539089,Bittrex price data
13-Mar-16,2.38,0.00574782,Bittrex price data
14-Mar-16,2.42,0.005811161,Bittrex price data
15-Mar-16,2.59,0.006213564,Bittrex price data
16-Mar-16,2.62,0.006282823,Bittrex price data
17-Mar-16,2.49,0.005919833,Bittrex price data
18-Mar-16,2.43,0.005933341,Bittrex price data
19-Mar-16,2.31,0.005628106,Bittrex price data
20-Mar-16,2.18,0.005268755,Bittrex price data
21-Mar-16,2.19,0.005298686,Bittrex price data
22-Mar-16,2.13,0.005094597,Bittrex price data
23-Mar-16,2.04,0.004879916,Bittrex price data
24-Mar-16,1.92,0.004611062,Bittrex price data
25-Mar-16,2.05,0.004913946,Bittrex price data
26-Mar-16,2.31,0.005526977,Bittrex price data
27-Mar-16,2.07,0.004850388,Bittrex price data
28-Mar-16,2.06,0.004855856,Bittrex price data
29-Mar-16,2.06,0.004945741,Bittrex price data
30-Mar-16,2.16,0.005207078,Bittrex price data
31-Mar-16,1.97,0.004727281,Bittrex price data
01-Apr-16,1.93,0.004617667,Bittrex price data
02-Apr-16,1.96,0.00465702,Bittrex price data
03-Apr-16,1.94,0.004609171,Bittrex price data
04-Apr-16,1.91,0.00453208,Bittrex price data
05-Apr-16,1.75,0.004127066,Bittrex price data
06-Apr-16,1.75,0.00413311,Bittrex price data
07-Apr-16,1.74,0.004116005,Bittrex price data
08-Apr-16,1.75,0.004163197,Bittrex price data
09-Apr-16,1.61,0.003838726,Bittrex price data
10-Apr-16,1.55,0.003676819,Bittrex price data
11-Apr-16,1.47,0.003479455,Bittrex price data
12-Apr-16,1.63,0.00383358,Bittrex price data
13-Apr-16,1.53,0.00361079,Bittrex price data
14-Apr-16,1.53,0.003606109,Bittrex price data
15-Apr-16,1.39,0.00323474,Bittrex price data
16-Apr-16,1.37,0.003181829,Bittrex price data
17-Apr-16,1.34,0.003135236,Bittrex price data
18-Apr-16,1.66,0.003873165,Bittrex price data
19-Apr-16,1.51,0.003467199,Bittrex price data
20-Apr-16,1.53,0.003466322,Bittrex price data
21-Apr-16,1.56,0.003471141,Bittrex price data
22-Apr-16,1.56,0.003499798,Bittrex price data
23-Apr-16,1.58,0.003508928,Bittrex price data
24-Apr-16,1.55,0.00338022,Bittrex price data
25-Apr-16,1.54,0.003337451,Bittrex price data
26-Apr-16,1.52,0.003261173,Bittrex price data
27-Apr-16,1.48,0.003328161,Bittrex price data
28-Apr-16,1.51,0.003362954,Bittrex price data
29-Apr-16,1.52,0.003339925,Bittrex price data
30-Apr-16,1.57,0.003501963,Bittrex price data
01-May-16,1.54,0.003407984,Bittrex price data
02-May-16,1.51,0.003395777,Bittrex price data
03-May-16,1.53,0.003397735,Bittrex price data
04-May-16,1.51,0.003380193,Bittrex price data
05-May-16,1.52,0.003393009,Bittrex price data
06-May-16,1.52,0.003307224,Bittrex price data
07-May-16,1.58,0.003445719,Bittrex price data
08-May-16,1.48,0.003227565,Bittrex price data
09-May-16,1.45,0.003148888,Bittrex price data
10-May-16,1.41,0.003127149,Bittrex price data
11-May-16,1.37,0.003026086,Bittrex price data
12-May-16,1.29,0.002836599,Bittrex price data
13-May-16,1.27,0.002787105,Bittrex price data
14-May-16,1.32,0.002896833,Bittrex price data
15-May-16,1.33,0.002906659,Bittrex price data
16-May-16,1.99,0.004381716,Bittrex price data
